,title,address,city,state,postal_code,price,facts and features,real estate provider,url,bed,bath,sqft,property_type,latlng
761,Condo For Sale,2610 Market St,San Francisco,CA,94114,550000.0,"1 bd , 1 ba , 600 sqft",Grobecker Holland Internationa,https://www.zillow.com/homedetails/2610-Market-St-San-Francisco-CA-94114/2090934949_zpid/,1.0,1.0,600.0,condo,"(37.7663455, -122.4305679)"
762,Condo For Sale,2612 Market St,San Francisco,CA,94114,1249000.0,"2 bds , 2 ba , 1,593 sqft",Grobecker Holland Internationa,https://www.zillow.com/homedetails/2612-Market-St-San-Francisco-CA-94114/2090935036_zpid/,2.0,2.0,1593.0,condo,"(37.7663455, -122.4305679)"
763,Condo For Sale,489 Elizabeth St,San Francisco,CA,94114,3495000.0,"3 bds , 2.5 ba , 3,282 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/489-Elizabeth-St-San-Francisco-CA-94114/111931851_zpid/,3.0,2.5,3282.0,condo,"(37.7521649387755, -122.431589510204)"
764,Condo For Sale,2152 15th St,San Francisco,CA,94114,1495000.0,"2 bds , 2 ba , -- sqft",Coldwell Banker Residential Brokerage - San Francisco Market Street,https://www.zillow.com/homedetails/2152-15th-St-San-Francisco-CA-94114/2097366158_zpid/,2.0,2.0,,condo,"(37.7660959, -122.432231281668)"
768,House For Sale,780 Elizabeth St,San Francisco,CA,94114,2995000.0,"3 bds , 2 ba , 2,790 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/780-Elizabeth-St-San-Francisco-CA-94114/15131678_zpid/,3.0,2.0,2790.0,house,"(37.751940375, -122.4380545)"
770,Apartment For Sale,2610-2612 Market St,SAN FRANCISCO,CA,94114,1799000.0,"3 bds , 3 ba , 2,337 sqft",Grobecker Holland Internationa,https://www.zillow.com/homedetails/2610-2612-Market-St-San-Francisco-CA-94114/15128236_zpid/,3.0,3.0,2337.0,apartment,"(37.7663455, -122.4305679)"
771,Apartment For Sale,352 Cumberland St,San Francisco,CA,94114,3750000.0,"Studio , -- ba , 2,760 sqft",Compass,https://www.zillow.com/homedetails/352-Cumberland-St-San-Francisco-CA-94114/15145129_zpid/,0.0,,2760.0,apartment,"(37.7587674489796, -122.431518877551)"
772,Lot/Land For Sale,258 Caselli Ave,San Francisco,CA,94114,1500000.0,"1,751 sqft lot",Catalyst Realty and Investment,https://www.zillow.com/homedetails/258-Caselli-Ave-San-Francisco-CA-94114/59779599_zpid/,,,1751.0,lot,"(37.7594441289958, -122.443532535038)"
777,House For Sale,2506 Washington St,San Francisco,CA,94115,3995000.0,"4 bds , 2.5 ba , -- sqft",Compass,https://www.zillow.com/homedetails/2506-Washington-St-San-Francisco-CA-94115/15074029_zpid/,4.0,2.5,,house,"(37.7953358, -122.4048744)"
779,Condo For Sale,1829 Laguna St,San Francisco,CA,94115,1795000.0,"3 bds , 3 ba , 1,870 sqft",Vanguard Properties,https://www.zillow.com/homedetails/1829-Laguna-St-San-Francisco-CA-94115/2090821214_zpid/,3.0,3.0,1870.0,condo,"(37.8033875, -122.4315761)"
